timestamp,raw_gaze_position_x,raw_gaze_position_y,calibrated_gaze_position_x,calibrated_gaze_position_y,filtered_gaze_position_x,filtered_gaze_position_y,left_eye_openness,right_eye_openness,tracking_status,status,event,trigger
1770538248141503800,1.2008670568466187,-9.92981243133545,1329.082202911377,1496.6935515403748,1280.566234588623,1489.389681816101,113.0,66.5,1,1,0,0
1770538248176725000,0.029309559613466263,-10.090472221374512,1177.7524852752686,1477.294635772705,1280.566234588623,1477.294635772705,111.0,66.5,1,1,0,0
1770538248215618700,0.9674219489097595,-7.279306411743164,1298.9680767059326,1253.741955757141,1280.566234588623,1466.334593296051,103.5,77.5,1,1,0,0
1770538248251787600,-0.042004745453596115,-7.747989177703857,1241.8261241912842,1266.8052792549133,1280.566234588623,1477.294635772705,103.0,76.5,1,1,0,0
1770538248291702500,1.0553641319274902,-7.752415180206299,1309.8998165130615,1253.4538865089417,1280.566234588623,1466.334593296051,109.5,69.0,1,1,0,0
1770538248325896500,1.2999314069747925,-7.813923358917236,1357.38676071167,1325.5158305168152,1280.566234588623,1325.5158305168152,117.5,76.5,1,1,0,0
1770538248359943500,1.5377081632614136,-7.301028728485107,1332.0275688171387,1237.7144694328308,1280.566234588623,1325.5158305168152,108.5,70.0,1,1,0,0
1770538248394637300,-0.10199204087257385,-5.310610294342041,1331.122055053711,1140.9353256225586,1309.8998165130615,1325.5158305168152,104.5,68.0,1,1,0,0
1770538248427942700,1.2713100910186768,-5.3765339851379395,1331.337490081787,1210.7653498649597,1331.122055053711,1325.5158305168152,89.5,79.5,1,1,0,0
1770538248466591500,0.935615599155426,-6.893059730529785,1330.4890537261963,1226.2045741081238,1330.4890537261963,1237.7144694328308,95.5,75.5,1,1,0,0
1770538248505089600,0.45920535922050476,-7.986076831817627,1374.9348449707031,1358.2894206047058,1331.122055053711,1325.5158305168152,103.0,76.0,1,1,0,0
1770538248543104200,0.5574427247047424,-6.253187656402588,1352.5370693206787,1213.6738300323486,1331.122055053711,1237.7144694328308,95.5,74.0,1,1,0,0
